Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;5132;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;NULL;NULL;2023-05-10 13:50:41.0422
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;5132;Battery;NULL;NULL;NULL;NULL;NULL;NULL;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;NULL;NULL;2023-05-10 13:50:41.0468
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;5132;NULL;NULL;NULL;1;NULL;NULL;TRUE;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;NULL;NULL;2023-05-10 13:50:41.0498
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;5155;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;NULL;NULL;2023-05-10 13:50:41.6557
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;5155;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;NULL;NULL;2023-05-10 13:50:41.6557
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;5252;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;NULL;NULL;2023-05-10 13:50:43.9926
NULL;NULL;NULL;NULL;NULL;anonymous;End Player Turn;5416;NULL;NULL;NULL;1;NULL;NULL;FALSE;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;NULL;NULL;2023-05-10 13:50:47.9808
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5416;NULL;NULL;NULL;1;NULL;NULL;FALSE;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;NULL;NULL;2023-05-10 13:50:47.9808
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5461;NULL;NULL;NULL;1;NULL;NULL;FALSE;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;NULL;NULL;2023-05-10 13:50:49.0981
NULL;NULL;NULL;NULL;NULL;anonymous;Player Hurt;5474;NULL;NULL;NULL;NULL;19.0000;0.0000;NULL;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;NULL;1;2023-05-10 13:50:49.4305
