BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.2228;ReceivingData;anonymous;Sample;5584;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;2023-05-10 13:50:52.2466
0.2339;ReceivingData;anonymous;Sample;5590;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;2023-05-10 13:50:52.3999
0.2654;ReceivingData;anonymous;Sample;5596;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;2023-05-10 13:50:52.5509
0.2795;ReceivingData;anonymous;Sample;5602;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;2023-05-10 13:50:52.6984
0.3053;ReceivingData;anonymous;Sample;5608;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;2023-05-10 13:50:52.8473
0.3471;ReceivingData;anonymous;Sample;5614;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;2023-05-10 13:50:52.9982
0.4786;ReceivingData;anonymous;Sample;5620;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;2023-05-10 13:50:53.1484
0.6045;ReceivingData;anonymous;Sample;5626;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;2023-05-10 13:50:53.2984
0.6219;ReceivingData;anonymous;Sample;5632;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;2023-05-10 13:50:53.4477
0.6052;ReceivingData;anonymous;Sample;5638;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;2023-05-10 13:50:53.5981
0.6037;ReceivingData;anonymous;Sample;5644;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;2023-05-10 13:50:53.7492
0.7128;ReceivingData;anonymous;Sample;5650;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;2023-05-10 13:50:53.8983
0.7960;ReceivingData;anonymous;Sample;5656;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;2023-05-10 13:50:54.0497
0.8330;ReceivingData;anonymous;Sample;5662;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;2023-05-10 13:50:54.1999
0.8430;ReceivingData;anonymous;Sample;5668;6de078cb-d0ce-4f6b-b3dd-57445bf2979e;2023-05-10 13:50:54.3676
