BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.2228;ReceivingData;anonymous;Sample;4153;db46db44-d635-4351-86db-1a754cccef4f;2023-05-10 13:10:15.4710
0.2339;ReceivingData;anonymous;Sample;4159;db46db44-d635-4351-86db-1a754cccef4f;2023-05-10 13:10:15.6232
0.2654;ReceivingData;anonymous;Sample;4165;db46db44-d635-4351-86db-1a754cccef4f;2023-05-10 13:10:15.7746
0.2795;ReceivingData;anonymous;Sample;4171;db46db44-d635-4351-86db-1a754cccef4f;2023-05-10 13:10:15.9234
0.3053;ReceivingData;anonymous;Sample;4177;db46db44-d635-4351-86db-1a754cccef4f;2023-05-10 13:10:16.0740
0.3471;ReceivingData;anonymous;Sample;4183;db46db44-d635-4351-86db-1a754cccef4f;2023-05-10 13:10:16.2224
0.4786;ReceivingData;anonymous;Sample;4189;db46db44-d635-4351-86db-1a754cccef4f;2023-05-10 13:10:16.3722
0.6045;ReceivingData;anonymous;Sample;4195;db46db44-d635-4351-86db-1a754cccef4f;2023-05-10 13:10:16.5251
0.6219;ReceivingData;anonymous;Sample;4201;db46db44-d635-4351-86db-1a754cccef4f;2023-05-10 13:10:16.6754
0.6052;ReceivingData;anonymous;Sample;4207;db46db44-d635-4351-86db-1a754cccef4f;2023-05-10 13:10:16.8259
0.6037;ReceivingData;anonymous;Sample;4213;db46db44-d635-4351-86db-1a754cccef4f;2023-05-10 13:10:16.9768
0.7128;ReceivingData;anonymous;Sample;4219;db46db44-d635-4351-86db-1a754cccef4f;2023-05-10 13:10:17.1251
0.7960;ReceivingData;anonymous;Sample;4226;db46db44-d635-4351-86db-1a754cccef4f;2023-05-10 13:10:17.2917
0.8330;ReceivingData;anonymous;Sample;4232;db46db44-d635-4351-86db-1a754cccef4f;2023-05-10 13:10:17.4421
0.8430;ReceivingData;anonymous;Sample;4238;db46db44-d635-4351-86db-1a754cccef4f;2023-05-10 13:10:17.5899
