BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;3031;NULL;NULL;NULL;NULL;NULL;NULL;NULL;db46db44-d635-4351-86db-1a754cccef4f;NULL;NULL;2023-05-10 13:09:48.6060
NULL;NULL;NULL;NULL;anonymous;Scene Start;3031;Interval;NULL;NULL;NULL;NULL;NULL;NULL;db46db44-d635-4351-86db-1a754cccef4f;NULL;NULL;2023-05-10 13:09:48.6106
NULL;NULL;NULL;NULL;anonymous;Start Player Turn;3031;NULL;NULL;NULL;1;NULL;NULL;TRUE;db46db44-d635-4351-86db-1a754cccef4f;NULL;NULL;2023-05-10 13:09:48.6146
NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;3055;NULL;NULL;NULL;NULL;NULL;NULL;NULL;db46db44-d635-4351-86db-1a754cccef4f;NULL;NULL;2023-05-10 13:09:49.2010
NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;3055;NULL;NULL;NULL;NULL;NULL;NULL;NULL;db46db44-d635-4351-86db-1a754cccef4f;NULL;NULL;2023-05-10 13:09:49.2010
NULL;NULL;NULL;NULL;anonymous;Player Moving;3244;NULL;NULL;NULL;NULL;NULL;NULL;NULL;db46db44-d635-4351-86db-1a754cccef4f;NULL;NULL;2023-05-10 13:09:53.6494
NULL;NULL;NULL;NULL;anonymous;End Player Turn;3389;NULL;NULL;NULL;1;NULL;NULL;FALSE;db46db44-d635-4351-86db-1a754cccef4f;NULL;NULL;2023-05-10 13:09:56.9278
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3389;NULL;NULL;NULL;1;NULL;NULL;FALSE;db46db44-d635-4351-86db-1a754cccef4f;NULL;NULL;2023-05-10 13:09:56.9288
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3434;NULL;NULL;NULL;1;NULL;NULL;FALSE;db46db44-d635-4351-86db-1a754cccef4f;NULL;NULL;2023-05-10 13:09:58.0434
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3436;NULL;NULL;NULL;1;NULL;NULL;FALSE;db46db44-d635-4351-86db-1a754cccef4f;NULL;NULL;2023-05-10 13:09:58.0931
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3471;NULL;NULL;NULL;1;NULL;NULL;FALSE;db46db44-d635-4351-86db-1a754cccef4f;NULL;NULL;2023-05-10 13:09:58.8945
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3525;NULL;NULL;NULL;1;NULL;NULL;FALSE;db46db44-d635-4351-86db-1a754cccef4f;NULL;NULL;2023-05-10 13:10:00.1287
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3534;NULL;NULL;NULL;1;NULL;NULL;FALSE;db46db44-d635-4351-86db-1a754cccef4f;NULL;NULL;2023-05-10 13:10:00.3247
NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;3556;NULL;NULL;NULL;NULL;NULL;NULL;NULL;db46db44-d635-4351-86db-1a754cccef4f;NULL;NULL;2023-05-10 13:10:00.8101
NULL;NULL;NULL;NULL;anonymous;Start Player Turn;3557;NULL;NULL;NULL;2;NULL;NULL;TRUE;db46db44-d635-4351-86db-1a754cccef4f;NULL;NULL;2023-05-10 13:10:00.8281
NULL;NULL;NULL;NULL;anonymous;Player Moving;3572;NULL;NULL;NULL;NULL;NULL;NULL;NULL;db46db44-d635-4351-86db-1a754cccef4f;NULL;NULL;2023-05-10 13:10:01.2288
