BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;3396;NULL;NULL;NULL;NULL;NULL;NULL;NULL;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:03.0969
NULL;NULL;NULL;NULL;anonymous;Scene Start;3396;Interval;NULL;NULL;NULL;NULL;NULL;NULL;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:03.1009
NULL;NULL;NULL;NULL;anonymous;Start Player Turn;3396;NULL;NULL;NULL;1;NULL;NULL;TRUE;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:03.1049
NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;3418;NULL;NULL;NULL;NULL;NULL;NULL;NULL;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:03.6695
NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;3418;NULL;NULL;NULL;NULL;NULL;NULL;NULL;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:03.6695
NULL;NULL;NULL;NULL;anonymous;Player Moving;3676;NULL;NULL;NULL;NULL;NULL;NULL;NULL;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:09.9180
NULL;NULL;NULL;NULL;anonymous;End Player Turn;3829;NULL;NULL;NULL;1;NULL;NULL;FALSE;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:13.4598
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3829;NULL;NULL;NULL;1;NULL;NULL;FALSE;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:13.4598
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3877;NULL;NULL;NULL;1;NULL;NULL;FALSE;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:14.6309
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3879;NULL;NULL;NULL;1;NULL;NULL;FALSE;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:14.6803
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3913;NULL;NULL;NULL;1;NULL;NULL;FALSE;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:15.4972
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3961;NULL;NULL;NULL;1;NULL;NULL;FALSE;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:16.6471
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3970;NULL;NULL;NULL;1;NULL;NULL;FALSE;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:16.8645
NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;3991;NULL;NULL;NULL;NULL;NULL;NULL;NULL;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:17.3627
NULL;NULL;NULL;NULL;anonymous;Start Player Turn;3992;NULL;NULL;NULL;2;NULL;NULL;TRUE;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:17.4013
NULL;NULL;NULL;NULL;anonymous;Player Moving;4090;NULL;NULL;NULL;NULL;NULL;NULL;NULL;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:19.9428
NULL;NULL;NULL;NULL;anonymous;End Player Turn;4153;NULL;NULL;NULL;2;NULL;NULL;FALSE;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:21.5177
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;4153;NULL;NULL;NULL;2;NULL;NULL;FALSE;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:21.5187
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;4161;NULL;NULL;NULL;2;NULL;NULL;FALSE;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:21.7176
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;4163;NULL;NULL;NULL;2;NULL;NULL;FALSE;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:21.7680
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;4199;NULL;NULL;NULL;2;NULL;NULL;FALSE;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:22.6713
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;4207;NULL;NULL;NULL;2;NULL;NULL;FALSE;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:22.8699
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;4269;NULL;NULL;NULL;2;NULL;NULL;FALSE;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:24.3710
NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;4278;NULL;NULL;NULL;NULL;NULL;NULL;NULL;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:24.6082
NULL;NULL;NULL;NULL;anonymous;Start Player Turn;4279;NULL;NULL;NULL;3;NULL;NULL;TRUE;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:24.6183
NULL;NULL;NULL;NULL;anonymous;Player Moving;4405;NULL;NULL;NULL;NULL;NULL;NULL;NULL;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:28.0032
NULL;NULL;NULL;NULL;anonymous;End Player Turn;4561;NULL;NULL;NULL;3;NULL;NULL;FALSE;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:31.9113
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;4561;NULL;NULL;NULL;3;NULL;NULL;FALSE;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;NULL;2023-05-10 14:42:31.9113
NULL;NULL;NULL;NULL;anonymous;Player Hurt;4575;NULL;NULL;NULL;NULL;19.0000;9999.0000;NULL;117e1372-2ac0-40c7-a6f1-80d57604eeb9;NULL;1;2023-05-10 14:42:32.2082
