Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;7568;NULL;NULL;NULL;NULL;NULL;NULL;NULL;177ed70f-b65c-41bc-8cec-84c29c082cfd;NULL;NULL;2023-05-11 13:30:59.8421
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;7568;Battery;NULL;NULL;NULL;NULL;NULL;NULL;177ed70f-b65c-41bc-8cec-84c29c082cfd;NULL;NULL;2023-05-11 13:30:59.8457
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;7568;NULL;NULL;NULL;1;NULL;NULL;TRUE;177ed70f-b65c-41bc-8cec-84c29c082cfd;NULL;NULL;2023-05-11 13:30:59.8501
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;7591;NULL;NULL;NULL;NULL;NULL;NULL;NULL;177ed70f-b65c-41bc-8cec-84c29c082cfd;NULL;NULL;2023-05-11 13:31:00.4372
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;7591;NULL;NULL;NULL;NULL;NULL;NULL;NULL;177ed70f-b65c-41bc-8cec-84c29c082cfd;NULL;NULL;2023-05-11 13:31:00.4372
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;7760;NULL;NULL;NULL;NULL;NULL;NULL;NULL;177ed70f-b65c-41bc-8cec-84c29c082cfd;NULL;NULL;2023-05-11 13:31:04.4468
NULL;NULL;NULL;NULL;NULL;anonymous;End Player Turn;7943;NULL;NULL;NULL;1;NULL;NULL;FALSE;177ed70f-b65c-41bc-8cec-84c29c082cfd;NULL;NULL;2023-05-11 13:31:08.4240
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7943;NULL;NULL;NULL;1;NULL;NULL;FALSE;177ed70f-b65c-41bc-8cec-84c29c082cfd;NULL;NULL;2023-05-11 13:31:08.4240
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7991;NULL;NULL;NULL;1;NULL;NULL;FALSE;177ed70f-b65c-41bc-8cec-84c29c082cfd;NULL;NULL;2023-05-11 13:31:09.5987
NULL;NULL;NULL;NULL;NULL;anonymous;Player Hurt;8005;NULL;NULL;NULL;NULL;19.0000;0.0000;NULL;177ed70f-b65c-41bc-8cec-84c29c082cfd;NULL;1;2023-05-11 13:31:09.9256
