BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;6333;NULL;NULL;NULL;NULL;NULL;NULL;NULL;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:02.8041
NULL;NULL;NULL;NULL;anonymous;Scene Start;6333;Interval;NULL;NULL;NULL;NULL;NULL;NULL;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:02.8071
NULL;NULL;NULL;NULL;anonymous;Start Player Turn;6333;NULL;NULL;NULL;1;NULL;NULL;TRUE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:02.8111
NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;6356;NULL;NULL;NULL;NULL;NULL;NULL;NULL;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:03.3711
NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;6356;NULL;NULL;NULL;NULL;NULL;NULL;NULL;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:03.3721
NULL;NULL;NULL;NULL;anonymous;Player Moving;6575;NULL;NULL;NULL;NULL;NULL;NULL;NULL;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:08.5570
NULL;NULL;NULL;NULL;anonymous;End Player Turn;6714;NULL;NULL;NULL;1;NULL;NULL;FALSE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:11.6145
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;6714;NULL;NULL;NULL;1;NULL;NULL;FALSE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:11.6145
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;6763;NULL;NULL;NULL;1;NULL;NULL;FALSE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:12.7621
NULL;NULL;NULL;NULL;anonymous;Player Hurt;6777;NULL;NULL;NULL;NULL;19.0000;9999.0000;NULL;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;1;2023-05-10 12:05:13.0934
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;6779;NULL;NULL;NULL;1;NULL;NULL;FALSE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:13.1473
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;6813;NULL;NULL;NULL;1;NULL;NULL;FALSE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:13.9612
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;6862;NULL;NULL;NULL;1;NULL;NULL;FALSE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:15.1621
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;6872;NULL;NULL;NULL;1;NULL;NULL;FALSE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:15.4121
NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;6892;NULL;NULL;NULL;NULL;NULL;NULL;NULL;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:15.9151
NULL;NULL;NULL;NULL;anonymous;Start Player Turn;6893;NULL;NULL;NULL;2;NULL;NULL;TRUE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:15.9483
NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;7192;NULL;NULL;1;NULL;NULL;NULL;NULL;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:23.3550
NULL;NULL;NULL;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 );anonymous;NULL;7192;NULL;NULL;NULL;NULL;NULL;NULL;NULL;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:23.3550
NULL;NULL;NULL;NULL;anonymous;RegenMana;7192;NULL;NULL;NULL;NULL;19.0000;9999.0000;NULL;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;1;2023-05-10 12:05:23.3565
1;NULL;NULL;NULL;anonymous;BciSuccess;7192;NULL;NULL;NULL;NULL;NULL;NULL;NULL;abad9899-8e3f-47e9-857a-323a7b9666dc;TRUE;NULL;2023-05-10 12:05:23.3565
NULL;NULL;NULL;NULL;anonymous;Goblin Death;7225;NULL;Goblin 2 Variant (1);NULL;NULL;NULL;NULL;NULL;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:24.1565
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7267;NULL;NULL;NULL;2;NULL;NULL;FALSE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:25.1696
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7278;NULL;NULL;NULL;2;NULL;NULL;FALSE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:25.4420
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7313;NULL;NULL;NULL;2;NULL;NULL;FALSE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:26.3055
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7365;NULL;NULL;NULL;2;NULL;NULL;FALSE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:27.5889
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7427;NULL;NULL;NULL;2;NULL;NULL;FALSE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:29.1916
NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;7434;NULL;NULL;NULL;NULL;NULL;NULL;NULL;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:29.3939
NULL;NULL;NULL;NULL;anonymous;Start Player Turn;7435;NULL;NULL;NULL;3;NULL;NULL;TRUE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:29.4114
NULL;NULL;NULL;NULL;anonymous;Player Moving;7519;NULL;NULL;NULL;NULL;NULL;NULL;NULL;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:31.5711
NULL;NULL;NULL;NULL;anonymous;End Player Turn;7665;NULL;NULL;NULL;3;NULL;NULL;FALSE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:35.4479
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7665;NULL;NULL;NULL;3;NULL;NULL;FALSE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:35.4479
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7686;NULL;NULL;NULL;3;NULL;NULL;FALSE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:35.9824
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7707;NULL;NULL;NULL;3;NULL;NULL;FALSE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:36.5142
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7709;NULL;NULL;NULL;3;NULL;NULL;FALSE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:36.5800
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;7734;NULL;NULL;NULL;3;NULL;NULL;FALSE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:37.2837
NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;7777;NULL;NULL;NULL;NULL;NULL;NULL;NULL;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:38.4143
NULL;NULL;NULL;NULL;anonymous;Start Player Turn;7778;NULL;NULL;NULL;4;NULL;NULL;TRUE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:38.4520
NULL;NULL;NULL;NULL;anonymous;Player Moving;7886;NULL;NULL;NULL;NULL;NULL;NULL;NULL;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:41.2641
NULL;NULL;NULL;NULL;anonymous;End Player Turn;8041;NULL;NULL;NULL;4;NULL;NULL;FALSE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:44.9366
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;8041;NULL;NULL;NULL;4;NULL;NULL;FALSE;abad9899-8e3f-47e9-857a-323a7b9666dc;NULL;NULL;2023-05-10 12:05:44.9366
