Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;4996;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6b79f51f-4e5e-4316-ab2a-ab42bd95beae;NULL;NULL;2023-05-11 12:58:57.0056
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;4996;Battery;NULL;NULL;NULL;NULL;NULL;NULL;6b79f51f-4e5e-4316-ab2a-ab42bd95beae;NULL;NULL;2023-05-11 12:58:57.0092
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;4996;NULL;NULL;NULL;1;NULL;NULL;TRUE;6b79f51f-4e5e-4316-ab2a-ab42bd95beae;NULL;NULL;2023-05-11 12:58:57.0127
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;5018;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6b79f51f-4e5e-4316-ab2a-ab42bd95beae;NULL;NULL;2023-05-11 12:58:57.5899
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;5018;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6b79f51f-4e5e-4316-ab2a-ab42bd95beae;NULL;NULL;2023-05-11 12:58:57.5899
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;5665;NULL;NULL;1;NULL;NULL;NULL;NULL;6b79f51f-4e5e-4316-ab2a-ab42bd95beae;NULL;NULL;2023-05-11 12:59:12.6989
NULL;NULL;NULL;NULL;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 );anonymous;NULL;5665;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6b79f51f-4e5e-4316-ab2a-ab42bd95beae;NULL;NULL;2023-05-11 12:59:12.6989
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;5665;NULL;NULL;NULL;NULL;20.0000;0.0000;NULL;6b79f51f-4e5e-4316-ab2a-ab42bd95beae;NULL;0;2023-05-11 12:59:12.6989
NULL;1;NULL;NULL;NULL;anonymous;BciSuccess;5665;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6b79f51f-4e5e-4316-ab2a-ab42bd95beae;TRUE;NULL;2023-05-11 12:59:12.6999
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;6182;NULL;NULL;2;NULL;NULL;NULL;NULL;6b79f51f-4e5e-4316-ab2a-ab42bd95beae;NULL;NULL;2023-05-11 12:59:24.5601
NULL;NULL;NULL;NULL;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 );anonymous;NULL;6182;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6b79f51f-4e5e-4316-ab2a-ab42bd95beae;NULL;NULL;2023-05-11 12:59:24.5611
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;6182;NULL;NULL;NULL;NULL;20.0000;2.0000;NULL;6b79f51f-4e5e-4316-ab2a-ab42bd95beae;NULL;0;2023-05-11 12:59:24.5617
NULL;2;NULL;NULL;NULL;anonymous;BciSuccess;6182;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6b79f51f-4e5e-4316-ab2a-ab42bd95beae;TRUE;NULL;2023-05-11 12:59:24.5622
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;6715;NULL;NULL;3;NULL;NULL;NULL;NULL;6b79f51f-4e5e-4316-ab2a-ab42bd95beae;NULL;NULL;2023-05-11 12:59:36.8047
NULL;NULL;NULL;NULL;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 );anonymous;NULL;6715;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6b79f51f-4e5e-4316-ab2a-ab42bd95beae;NULL;NULL;2023-05-11 12:59:36.8060
