BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;7612;NULL;NULL;NULL;NULL;NULL;NULL;NULL;589c3a5f-a49b-4537-a3eb-641d27964423;NULL;NULL;2023-05-11 12:48:35.8956
NULL;NULL;NULL;NULL;anonymous;Scene Start;7612;Interval;NULL;NULL;NULL;NULL;NULL;NULL;589c3a5f-a49b-4537-a3eb-641d27964423;NULL;NULL;2023-05-11 12:48:35.9006
NULL;NULL;NULL;NULL;anonymous;Start Player Turn;7612;NULL;NULL;NULL;1;NULL;NULL;TRUE;589c3a5f-a49b-4537-a3eb-641d27964423;NULL;NULL;2023-05-11 12:48:35.9051
NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;7635;NULL;NULL;NULL;NULL;NULL;NULL;NULL;589c3a5f-a49b-4537-a3eb-641d27964423;NULL;NULL;2023-05-11 12:48:36.5024
NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;7635;NULL;NULL;NULL;NULL;NULL;NULL;NULL;589c3a5f-a49b-4537-a3eb-641d27964423;NULL;NULL;2023-05-11 12:48:36.5024
NULL;NULL;NULL;NULL;anonymous;Player Moving;8415;NULL;NULL;NULL;NULL;NULL;NULL;NULL;589c3a5f-a49b-4537-a3eb-641d27964423;NULL;NULL;2023-05-11 12:48:55.1680
NULL;NULL;NULL;NULL;anonymous;End Player Turn;8575;NULL;NULL;NULL;1;NULL;NULL;FALSE;589c3a5f-a49b-4537-a3eb-641d27964423;NULL;NULL;2023-05-11 12:48:58.8722
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;8575;NULL;NULL;NULL;1;NULL;NULL;FALSE;589c3a5f-a49b-4537-a3eb-641d27964423;NULL;NULL;2023-05-11 12:48:58.8722
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;8619;NULL;NULL;NULL;1;NULL;NULL;FALSE;589c3a5f-a49b-4537-a3eb-641d27964423;NULL;NULL;2023-05-11 12:48:59.9721
NULL;NULL;NULL;NULL;anonymous;Player Hurt;8632;NULL;NULL;NULL;NULL;19.0000;9999.0000;NULL;589c3a5f-a49b-4537-a3eb-641d27964423;NULL;1;2023-05-11 12:49:00.3046
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;8633;NULL;NULL;NULL;1;NULL;NULL;FALSE;589c3a5f-a49b-4537-a3eb-641d27964423;NULL;NULL;2023-05-11 12:49:00.3442
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;8668;NULL;NULL;NULL;1;NULL;NULL;FALSE;589c3a5f-a49b-4537-a3eb-641d27964423;NULL;NULL;2023-05-11 12:49:01.2086
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;8715;NULL;NULL;NULL;1;NULL;NULL;FALSE;589c3a5f-a49b-4537-a3eb-641d27964423;NULL;NULL;2023-05-11 12:49:02.3900
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;8725;NULL;NULL;NULL;1;NULL;NULL;FALSE;589c3a5f-a49b-4537-a3eb-641d27964423;NULL;NULL;2023-05-11 12:49:02.6425
NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;8748;NULL;NULL;NULL;NULL;NULL;NULL;NULL;589c3a5f-a49b-4537-a3eb-641d27964423;NULL;NULL;2023-05-11 12:49:03.2281
NULL;NULL;NULL;NULL;anonymous;Start Player Turn;8749;NULL;NULL;NULL;2;NULL;NULL;TRUE;589c3a5f-a49b-4537-a3eb-641d27964423;NULL;NULL;2023-05-11 12:49:03.2435
