BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.2228;ReceivingData;anonymous;Sample;9153;589c3a5f-a49b-4537-a3eb-641d27964423;2023-05-11 12:49:14.0223
0.2339;ReceivingData;anonymous;Sample;9159;589c3a5f-a49b-4537-a3eb-641d27964423;2023-05-11 12:49:14.1676
0.2654;ReceivingData;anonymous;Sample;9165;589c3a5f-a49b-4537-a3eb-641d27964423;2023-05-11 12:49:14.3222
0.2795;ReceivingData;anonymous;Sample;9171;589c3a5f-a49b-4537-a3eb-641d27964423;2023-05-11 12:49:14.4723
0.3053;ReceivingData;anonymous;Sample;9177;589c3a5f-a49b-4537-a3eb-641d27964423;2023-05-11 12:49:14.6188
0.3471;ReceivingData;anonymous;Sample;9183;589c3a5f-a49b-4537-a3eb-641d27964423;2023-05-11 12:49:14.7723
0.4786;ReceivingData;anonymous;Sample;9189;589c3a5f-a49b-4537-a3eb-641d27964423;2023-05-11 12:49:14.9211
0.6045;ReceivingData;anonymous;Sample;9195;589c3a5f-a49b-4537-a3eb-641d27964423;2023-05-11 12:49:15.0714
0.6219;ReceivingData;anonymous;Sample;9201;589c3a5f-a49b-4537-a3eb-641d27964423;2023-05-11 12:49:15.2220
0.6052;ReceivingData;anonymous;Sample;9207;589c3a5f-a49b-4537-a3eb-641d27964423;2023-05-11 12:49:15.3698
0.6037;ReceivingData;anonymous;Sample;9213;589c3a5f-a49b-4537-a3eb-641d27964423;2023-05-11 12:49:15.5188
0.7128;ReceivingData;anonymous;Sample;9219;589c3a5f-a49b-4537-a3eb-641d27964423;2023-05-11 12:49:15.6729
0.7960;ReceivingData;anonymous;Sample;9225;589c3a5f-a49b-4537-a3eb-641d27964423;2023-05-11 12:49:15.8199
0.8330;ReceivingData;anonymous;Sample;9231;589c3a5f-a49b-4537-a3eb-641d27964423;2023-05-11 12:49:15.9695
0.8430;ReceivingData;anonymous;Sample;9237;589c3a5f-a49b-4537-a3eb-641d27964423;2023-05-11 12:49:16.1224
0.8513;ReceivingData;anonymous;Sample;9243;589c3a5f-a49b-4537-a3eb-641d27964423;2023-05-11 12:49:16.2693
