BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.2228;ReceivingData;anonymous;Sample;3774;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:08.2001
0.2339;ReceivingData;anonymous;Sample;3781;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:08.3512
0.2654;ReceivingData;anonymous;Sample;3788;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:08.4994
0.2795;ReceivingData;anonymous;Sample;3795;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:08.6544
0.3053;ReceivingData;anonymous;Sample;3802;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:08.7993
0.3471;ReceivingData;anonymous;Sample;3809;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:08.9493
0.4786;ReceivingData;anonymous;Sample;3816;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:09.1009
0.6045;ReceivingData;anonymous;Sample;3823;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:09.2519
0.6219;ReceivingData;anonymous;Sample;3830;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:09.4006
0.6052;ReceivingData;anonymous;Sample;3837;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:09.5539
0.6037;ReceivingData;anonymous;Sample;3844;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:09.7009
0.7128;ReceivingData;anonymous;Sample;3851;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:09.8683
0.7960;ReceivingData;anonymous;Sample;3858;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:10.0201
0.8330;ReceivingData;anonymous;Sample;3865;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:10.1705
0.8430;ReceivingData;anonymous;Sample;3872;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:10.3154
0.8513;ReceivingData;anonymous;Sample;3879;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:10.4673
0.8439;ReceivingData;anonymous;Sample;3886;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:10.6175
0.8284;ReceivingData;anonymous;Sample;3893;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:10.7671
0.8229;ReceivingData;anonymous;Sample;3899;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:10.9211
0.8229;ReceivingData;anonymous;Sample;3905;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:11.0739
0.2228;ReceivingData;anonymous;Sample;3911;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:11.2218
0.2339;ReceivingData;anonymous;Sample;3917;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:11.3885
0.2654;ReceivingData;anonymous;Sample;3923;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:11.5343
0.2795;ReceivingData;anonymous;Sample;3929;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:11.6928
0.2795;ReceivingData;anonymous;Sample;3930;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:11.7196
0.8359;ReceivingData;anonymous;Sample;5462;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:46.2810
0.8403;ReceivingData;anonymous;Sample;5469;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:46.4312
0.8384;ReceivingData;anonymous;Sample;5476;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:46.5816
0.8341;ReceivingData;anonymous;Sample;5483;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:46.7481
0.8405;ReceivingData;anonymous;Sample;5490;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:46.8981
0.8429;ReceivingData;anonymous;Sample;5497;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:47.0490
0.8462;ReceivingData;anonymous;Sample;5504;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:47.1977
0.8320;ReceivingData;anonymous;Sample;5511;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:47.3655
0.8193;ReceivingData;anonymous;Sample;5517;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:47.5204
0.7876;ReceivingData;anonymous;Sample;5523;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:47.6648
0.7507;ReceivingData;anonymous;Sample;5529;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:47.8152
0.7077;ReceivingData;anonymous;Sample;5535;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:47.9654
0.6466;ReceivingData;anonymous;Sample;5541;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:48.1150
0.6148;ReceivingData;anonymous;Sample;5547;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:48.2655
0.6148;ReceivingData;anonymous;Sample;5548;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:48.3007
0.2228;ReceivingData;anonymous;Sample;5733;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:52.6052
0.2339;ReceivingData;anonymous;Sample;5740;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:52.7537
0.2654;ReceivingData;anonymous;Sample;5747;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:52.9223
0.2795;ReceivingData;anonymous;Sample;5754;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:53.0730
0.3053;ReceivingData;anonymous;Sample;5761;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:53.2394
0.3471;ReceivingData;anonymous;Sample;5768;c2c163bc-6c5b-4fdd-bed2-9bf135daf9b3;2023-05-11 10:19:53.3886
