BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.2228;ReceivingData;anonymous;Sample;7735;6dff306e-cdd4-4098-9b95-d01bde01ac7b;2023-05-11 10:50:15.7513
0.2339;ReceivingData;anonymous;Sample;7742;6dff306e-cdd4-4098-9b95-d01bde01ac7b;2023-05-11 10:50:15.9005
0.2654;ReceivingData;anonymous;Sample;7749;6dff306e-cdd4-4098-9b95-d01bde01ac7b;2023-05-11 10:50:16.0545
0.2795;ReceivingData;anonymous;Sample;7756;6dff306e-cdd4-4098-9b95-d01bde01ac7b;2023-05-11 10:50:16.2053
0.3053;ReceivingData;anonymous;Sample;7763;6dff306e-cdd4-4098-9b95-d01bde01ac7b;2023-05-11 10:50:16.3541
0.3471;ReceivingData;anonymous;Sample;7770;6dff306e-cdd4-4098-9b95-d01bde01ac7b;2023-05-11 10:50:16.5039
0.4786;ReceivingData;anonymous;Sample;7777;6dff306e-cdd4-4098-9b95-d01bde01ac7b;2023-05-11 10:50:16.6541
0.6045;ReceivingData;anonymous;Sample;7784;6dff306e-cdd4-4098-9b95-d01bde01ac7b;2023-05-11 10:50:16.8031
0.6219;ReceivingData;anonymous;Sample;7791;6dff306e-cdd4-4098-9b95-d01bde01ac7b;2023-05-11 10:50:16.9552
0.6052;ReceivingData;anonymous;Sample;7798;6dff306e-cdd4-4098-9b95-d01bde01ac7b;2023-05-11 10:50:17.1035
0.6037;ReceivingData;anonymous;Sample;7805;6dff306e-cdd4-4098-9b95-d01bde01ac7b;2023-05-11 10:50:17.2537
0.7128;ReceivingData;anonymous;Sample;7812;6dff306e-cdd4-4098-9b95-d01bde01ac7b;2023-05-11 10:50:17.4225
0.7960;ReceivingData;anonymous;Sample;7820;6dff306e-cdd4-4098-9b95-d01bde01ac7b;2023-05-11 10:50:17.5706
0.8330;ReceivingData;anonymous;Sample;7827;6dff306e-cdd4-4098-9b95-d01bde01ac7b;2023-05-11 10:50:17.7194
0.8430;ReceivingData;anonymous;Sample;7834;6dff306e-cdd4-4098-9b95-d01bde01ac7b;2023-05-11 10:50:17.8712
0.8513;ReceivingData;anonymous;Sample;7841;6dff306e-cdd4-4098-9b95-d01bde01ac7b;2023-05-11 10:50:18.0212
0.8439;ReceivingData;anonymous;Sample;7849;6dff306e-cdd4-4098-9b95-d01bde01ac7b;2023-05-11 10:50:18.1722
0.8284;ReceivingData;anonymous;Sample;7856;6dff306e-cdd4-4098-9b95-d01bde01ac7b;2023-05-11 10:50:18.3209
