Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;7428;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;NULL;2023-05-11 10:50:08.9520
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;7428;Battery;NULL;NULL;NULL;NULL;NULL;NULL;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;NULL;2023-05-11 10:50:08.9559
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;7428;NULL;NULL;NULL;1;NULL;NULL;TRUE;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;NULL;2023-05-11 10:50:08.9589
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;7452;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;NULL;2023-05-11 10:50:09.5171
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;7452;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;NULL;2023-05-11 10:50:09.5171
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;7864;NULL;NULL;1;NULL;NULL;NULL;NULL;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;NULL;2023-05-11 10:50:18.4711
NULL;NULL;NULL;NULL;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 );anonymous;NULL;7864;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;NULL;2023-05-11 10:50:18.4721
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;7864;NULL;NULL;NULL;NULL;20.0000;0.0000;NULL;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;0;2023-05-11 10:50:18.4731
NULL;1;NULL;NULL;NULL;anonymous;BciSuccess;7864;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6dff306e-cdd4-4098-9b95-d01bde01ac7b;TRUE;NULL;2023-05-11 10:50:18.4741
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;8193;NULL;NULL;2;NULL;NULL;NULL;NULL;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;NULL;2023-05-11 10:50:25.3597
NULL;NULL;NULL;NULL;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 );anonymous;NULL;8193;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;NULL;2023-05-11 10:50:25.3597
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;8193;NULL;NULL;NULL;NULL;20.0000;2.0000;NULL;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;0;2023-05-11 10:50:25.3607
NULL;2;NULL;NULL;NULL;anonymous;BciSuccess;8193;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6dff306e-cdd4-4098-9b95-d01bde01ac7b;TRUE;NULL;2023-05-11 10:50:25.3607
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;8563;NULL;NULL;3;NULL;NULL;NULL;NULL;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;NULL;2023-05-11 10:50:33.0195
NULL;NULL;NULL;NULL;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 );anonymous;NULL;8563;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;NULL;2023-05-11 10:50:33.0207
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;8563;NULL;NULL;NULL;NULL;20.0000;4.0000;NULL;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;0;2023-05-11 10:50:33.0233
NULL;3;NULL;NULL;NULL;anonymous;BciSuccess;8563;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6dff306e-cdd4-4098-9b95-d01bde01ac7b;TRUE;NULL;2023-05-11 10:50:33.0243
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;8902;NULL;NULL;4;NULL;NULL;NULL;NULL;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;NULL;2023-05-11 10:50:40.2422
NULL;NULL;NULL;NULL;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 );anonymous;NULL;8902;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;NULL;2023-05-11 10:50:40.2422
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;8902;NULL;NULL;NULL;NULL;20.0000;6.0000;NULL;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;0;2023-05-11 10:50:40.2432
NULL;4;NULL;NULL;NULL;anonymous;BciSuccess;8902;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6dff306e-cdd4-4098-9b95-d01bde01ac7b;TRUE;NULL;2023-05-11 10:50:40.2432
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;8968;NULL;NULL;NULL;1;NULL;NULL;FALSE;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;NULL;2023-05-11 10:50:41.7564
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;9022;NULL;NULL;NULL;1;NULL;NULL;FALSE;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;NULL;2023-05-11 10:50:42.8637
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;9024;NULL;NULL;NULL;1;NULL;NULL;FALSE;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;NULL;2023-05-11 10:50:42.8947
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;9064;NULL;NULL;NULL;1;NULL;NULL;FALSE;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;NULL;2023-05-11 10:50:43.7088
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;9121;NULL;NULL;NULL;1;NULL;NULL;FALSE;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;NULL;2023-05-11 10:50:44.8774
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;9132;NULL;NULL;NULL;1;NULL;NULL;FALSE;6dff306e-cdd4-4098-9b95-d01bde01ac7b;NULL;NULL;2023-05-11 10:50:45.0951
