BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.2228;ReceivingData;anonymous;Sample;4375;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:48.2013
0.2339;ReceivingData;anonymous;Sample;4382;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:48.3686
0.2654;ReceivingData;anonymous;Sample;4389;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:48.5356
0.2795;ReceivingData;anonymous;Sample;4395;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:48.6858
0.3053;ReceivingData;anonymous;Sample;4401;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:48.8362
0.3471;ReceivingData;anonymous;Sample;4407;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:48.9842
0.4786;ReceivingData;anonymous;Sample;4413;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:49.1341
0.6045;ReceivingData;anonymous;Sample;4419;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:49.2841
0.6219;ReceivingData;anonymous;Sample;4425;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:49.4337
0.6052;ReceivingData;anonymous;Sample;4431;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:49.5837
0.6037;ReceivingData;anonymous;Sample;4437;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:49.7355
0.7128;ReceivingData;anonymous;Sample;4443;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:49.8881
0.7960;ReceivingData;anonymous;Sample;4449;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:50.0376
0.8330;ReceivingData;anonymous;Sample;4455;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:50.1843
0.8430;ReceivingData;anonymous;Sample;4461;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:50.3374
0.8513;ReceivingData;anonymous;Sample;4467;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:50.4870
0.8439;ReceivingData;anonymous;Sample;4474;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:50.6550
0.8284;ReceivingData;anonymous;Sample;4481;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:50.8169
0.8229;ReceivingData;anonymous;Sample;4488;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:50.9680
0.8229;ReceivingData;anonymous;Sample;4494;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:51.1273
0.2228;ReceivingData;anonymous;Sample;4500;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:51.2842
0.2339;ReceivingData;anonymous;Sample;4506;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:51.4391
0.2654;ReceivingData;anonymous;Sample;4512;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:51.5898
0.2228;ReceivingData;anonymous;Sample;4706;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:56.1406
0.2339;ReceivingData;anonymous;Sample;4713;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:56.2881
0.2654;ReceivingData;anonymous;Sample;4719;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:56.4406
0.2795;ReceivingData;anonymous;Sample;4726;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:56.6102
0.3053;ReceivingData;anonymous;Sample;4733;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:56.7555
0.3471;ReceivingData;anonymous;Sample;4740;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:56.9072
0.4786;ReceivingData;anonymous;Sample;4747;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:57.0751
0.6045;ReceivingData;anonymous;Sample;4754;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:57.2408
0.6219;ReceivingData;anonymous;Sample;4761;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:57.3908
0.6052;ReceivingData;anonymous;Sample;4767;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:57.5424
0.6037;ReceivingData;anonymous;Sample;4773;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:57.6914
0.7128;ReceivingData;anonymous;Sample;4780;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:57.8415
0.7960;ReceivingData;anonymous;Sample;4787;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:58.0100
0.8330;ReceivingData;anonymous;Sample;4794;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:58.1588
0.8430;ReceivingData;anonymous;Sample;4800;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:58.3100
0.8513;ReceivingData;anonymous;Sample;4807;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:58.4775
0.8439;ReceivingData;anonymous;Sample;4814;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:58.6422
0.8284;ReceivingData;anonymous;Sample;4821;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:58.7922
0.8229;ReceivingData;anonymous;Sample;4827;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:58.9416
0.8229;ReceivingData;anonymous;Sample;4833;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:59.0921
0.2228;ReceivingData;anonymous;Sample;4839;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:59.2416
0.2339;ReceivingData;anonymous;Sample;4845;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:59.4084
0.2654;ReceivingData;anonymous;Sample;4851;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:55:59.5580
0.2228;ReceivingData;anonymous;Sample;5141;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:56:06.4655
0.2339;ReceivingData;anonymous;Sample;5148;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:56:06.6157
0.2654;ReceivingData;anonymous;Sample;5154;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:56:06.7675
0.2795;ReceivingData;anonymous;Sample;5161;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:56:06.9331
0.3053;ReceivingData;anonymous;Sample;5168;202c9a89-4af6-4539-992c-9ff9d2fc14df;2023-05-10 09:56:07.0798
