BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;2840;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fe588a4a-d8d6-4156-97fe-8ed9c2ed8984;NULL;NULL;2023-05-11 13:37:58.9683
NULL;NULL;NULL;NULL;anonymous;Scene Start;2840;Interval;NULL;NULL;NULL;NULL;NULL;NULL;fe588a4a-d8d6-4156-97fe-8ed9c2ed8984;NULL;NULL;2023-05-11 13:37:58.9708
NULL;NULL;NULL;NULL;anonymous;Start Player Turn;2840;NULL;NULL;NULL;1;NULL;NULL;TRUE;fe588a4a-d8d6-4156-97fe-8ed9c2ed8984;NULL;NULL;2023-05-11 13:37:58.9789
NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;2860;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fe588a4a-d8d6-4156-97fe-8ed9c2ed8984;NULL;NULL;2023-05-11 13:37:59.5540
NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;2860;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fe588a4a-d8d6-4156-97fe-8ed9c2ed8984;NULL;NULL;2023-05-11 13:37:59.5550
NULL;NULL;NULL;NULL;anonymous;Player Moving;2910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fe588a4a-d8d6-4156-97fe-8ed9c2ed8984;NULL;NULL;2023-05-11 13:38:00.9059
NULL;NULL;NULL;NULL;anonymous;End Player Turn;3020;NULL;NULL;NULL;1;NULL;NULL;FALSE;fe588a4a-d8d6-4156-97fe-8ed9c2ed8984;NULL;NULL;2023-05-11 13:38:03.7355
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3020;NULL;NULL;NULL;1;NULL;NULL;FALSE;fe588a4a-d8d6-4156-97fe-8ed9c2ed8984;NULL;NULL;2023-05-11 13:38:03.7355
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3064;NULL;NULL;NULL;1;NULL;NULL;FALSE;fe588a4a-d8d6-4156-97fe-8ed9c2ed8984;NULL;NULL;2023-05-11 13:38:04.9923
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3066;NULL;NULL;NULL;1;NULL;NULL;FALSE;fe588a4a-d8d6-4156-97fe-8ed9c2ed8984;NULL;NULL;2023-05-11 13:38:05.0412
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3099;NULL;NULL;NULL;1;NULL;NULL;FALSE;fe588a4a-d8d6-4156-97fe-8ed9c2ed8984;NULL;NULL;2023-05-11 13:38:05.9928
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3144;NULL;NULL;NULL;1;NULL;NULL;FALSE;fe588a4a-d8d6-4156-97fe-8ed9c2ed8984;NULL;NULL;2023-05-11 13:38:07.2743
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3152;NULL;NULL;NULL;1;NULL;NULL;FALSE;fe588a4a-d8d6-4156-97fe-8ed9c2ed8984;NULL;NULL;2023-05-11 13:38:07.5090
NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;3172;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fe588a4a-d8d6-4156-97fe-8ed9c2ed8984;NULL;NULL;2023-05-11 13:38:08.0431
NULL;NULL;NULL;NULL;anonymous;Start Player Turn;3173;NULL;NULL;NULL;2;NULL;NULL;TRUE;fe588a4a-d8d6-4156-97fe-8ed9c2ed8984;NULL;NULL;2023-05-11 13:38:08.0779
NULL;NULL;NULL;NULL;anonymous;Player Moving;3208;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fe588a4a-d8d6-4156-97fe-8ed9c2ed8984;NULL;NULL;2023-05-11 13:38:09.0923
NULL;NULL;NULL;NULL;anonymous;End Player Turn;3348;NULL;NULL;NULL;2;NULL;NULL;FALSE;fe588a4a-d8d6-4156-97fe-8ed9c2ed8984;NULL;NULL;2023-05-11 13:38:12.8974
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3348;NULL;NULL;NULL;2;NULL;NULL;FALSE;fe588a4a-d8d6-4156-97fe-8ed9c2ed8984;NULL;NULL;2023-05-11 13:38:12.8974
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3356;NULL;NULL;NULL;2;NULL;NULL;FALSE;fe588a4a-d8d6-4156-97fe-8ed9c2ed8984;NULL;NULL;2023-05-11 13:38:13.0951
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;3358;NULL;NULL;NULL;2;NULL;NULL;FALSE;fe588a4a-d8d6-4156-97fe-8ed9c2ed8984;NULL;NULL;2023-05-11 13:38:13.1459
