Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;5717;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;NULL;NULL;2023-05-10 12:59:53.1359
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;5717;Battery;NULL;NULL;NULL;NULL;NULL;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;NULL;NULL;2023-05-10 12:59:53.1385
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;5717;NULL;NULL;NULL;1;NULL;NULL;TRUE;fdfc98f4-5725-4257-9346-0198b5999b7b;NULL;NULL;2023-05-10 12:59:53.1425
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;5742;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;NULL;NULL;2023-05-10 12:59:53.7061
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;5742;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;NULL;NULL;2023-05-10 12:59:53.7061
NULL;1;NULL;NULL;NULL;anonymous;BciFail;6369;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;FALSE;NULL;2023-05-10 13:00:06.4996
NULL;2;NULL;NULL;NULL;anonymous;BciFail;6997;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;FALSE;NULL;2023-05-10 13:00:19.4421
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;7321;NULL;NULL;1;NULL;NULL;NULL;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;NULL;NULL;2023-05-10 13:00:26.2836
NULL;NULL;NULL;NULL;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 );anonymous;NULL;7321;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;NULL;NULL;2023-05-10 13:00:26.2846
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;7321;NULL;NULL;NULL;NULL;20.0000;0.0000;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;NULL;0;2023-05-10 13:00:26.2846
NULL;3;NULL;NULL;NULL;anonymous;BciSuccess;7321;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;TRUE;NULL;2023-05-10 13:00:26.2846
NULL;4;NULL;NULL;NULL;anonymous;BciFail;7928;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;FALSE;NULL;2023-05-10 13:00:39.2436
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;8234;NULL;NULL;2;NULL;NULL;NULL;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;NULL;NULL;2023-05-10 13:00:45.7304
NULL;NULL;NULL;NULL;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 );anonymous;NULL;8234;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;NULL;NULL;2023-05-10 13:00:45.7304
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;8234;NULL;NULL;NULL;NULL;20.0000;2.0000;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;NULL;0;2023-05-10 13:00:45.7314
NULL;5;NULL;NULL;NULL;anonymous;BciSuccess;8234;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;TRUE;NULL;2023-05-10 13:00:45.7314
NULL;6;NULL;NULL;NULL;anonymous;BciFail;8859;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;FALSE;NULL;2023-05-10 13:00:58.6600
NULL;7;NULL;NULL;NULL;anonymous;BciFail;9477;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;FALSE;NULL;2023-05-10 13:01:11.6030
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;9910;NULL;NULL;3;NULL;NULL;NULL;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;NULL;NULL;2023-05-10 13:01:20.8272
NULL;NULL;NULL;NULL;(0.796 0.833 0.843 0.851 0.844 0.828 0.823 0.713 );anonymous;NULL;9910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;NULL;NULL;2023-05-10 13:01:20.8288
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;9910;NULL;NULL;NULL;NULL;20.0000;4.0000;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;NULL;0;2023-05-10 13:01:20.8288
NULL;8;NULL;NULL;NULL;anonymous;BciSuccess;9910;NULL;NULL;NULL;NULL;NULL;NULL;NULL;fdfc98f4-5725-4257-9346-0198b5999b7b;TRUE;NULL;2023-05-10 13:01:20.8298
