Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;5213;NULL;NULL;NULL;NULL;NULL;NULL;NULL;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:20.3773
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;5213;Battery;NULL;NULL;NULL;NULL;NULL;NULL;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:20.3809
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;5213;NULL;NULL;NULL;1;NULL;NULL;TRUE;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:20.3849
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;5235;NULL;NULL;NULL;NULL;NULL;NULL;NULL;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:20.9626
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;5235;NULL;NULL;NULL;NULL;NULL;NULL;NULL;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:20.9636
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;5414;NULL;NULL;NULL;NULL;NULL;NULL;NULL;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:25.4046
NULL;NULL;NULL;NULL;NULL;anonymous;End Player Turn;5505;NULL;NULL;NULL;1;NULL;NULL;FALSE;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:27.4978
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5505;NULL;NULL;NULL;1;NULL;NULL;FALSE;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:27.4978
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5549;NULL;NULL;NULL;1;NULL;NULL;FALSE;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:28.5619
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5551;NULL;NULL;NULL;1;NULL;NULL;FALSE;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:28.6121
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5587;NULL;NULL;NULL;1;NULL;NULL;FALSE;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:29.5148
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5637;NULL;NULL;NULL;1;NULL;NULL;FALSE;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:30.7506
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5647;NULL;NULL;NULL;1;NULL;NULL;FALSE;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:30.9993
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;5668;NULL;NULL;NULL;NULL;NULL;NULL;NULL;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:31.5216
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;5669;NULL;NULL;NULL;2;NULL;NULL;TRUE;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:31.5358
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;5691;NULL;NULL;NULL;NULL;NULL;NULL;NULL;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:32.1998
NULL;NULL;NULL;NULL;NULL;anonymous;End Player Turn;5801;NULL;NULL;NULL;2;NULL;NULL;FALSE;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:35.0008
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5801;NULL;NULL;NULL;2;NULL;NULL;FALSE;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:35.0019
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5810;NULL;NULL;NULL;2;NULL;NULL;FALSE;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:35.2344
NULL;NULL;NULL;NULL;NULL;anonymous;Player Hurt;5818;NULL;NULL;NULL;NULL;19.0000;0.0000;NULL;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;1;2023-05-10 10:24:35.4518
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5818;NULL;NULL;NULL;2;NULL;NULL;FALSE;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:35.4528
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5853;NULL;NULL;NULL;2;NULL;NULL;FALSE;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:36.3202
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5900;NULL;NULL;NULL;2;NULL;NULL;FALSE;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:37.5206
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5959;NULL;NULL;NULL;2;NULL;NULL;FALSE;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:39.1044
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;5967;NULL;NULL;NULL;NULL;NULL;NULL;NULL;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:39.3234
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;5968;NULL;NULL;NULL;3;NULL;NULL;TRUE;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:24:39.3396
NULL;1;NULL;NULL;NULL;anonymous;BciFail;6698;NULL;NULL;NULL;NULL;NULL;NULL;NULL;a1160f85-6f17-410d-b05b-c507ba29e62b;FALSE;NULL;2023-05-10 10:24:58.9377
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;7075;NULL;NULL;1;NULL;NULL;NULL;NULL;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:25:08.7792
NULL;NULL;NULL;NULL;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 );anonymous;NULL;7075;NULL;NULL;NULL;NULL;NULL;NULL;NULL;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:25:08.7792
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;7075;NULL;NULL;NULL;NULL;19.0000;0.0000;NULL;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;1;2023-05-10 10:25:08.7802
NULL;2;NULL;NULL;NULL;anonymous;BciSuccess;7075;NULL;NULL;NULL;NULL;NULL;NULL;NULL;a1160f85-6f17-410d-b05b-c507ba29e62b;TRUE;NULL;2023-05-10 10:25:08.7802
NULL;3;NULL;NULL;NULL;anonymous;BciFail;7569;NULL;NULL;NULL;NULL;NULL;NULL;NULL;a1160f85-6f17-410d-b05b-c507ba29e62b;FALSE;NULL;2023-05-10 10:25:21.7086
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;7854;NULL;NULL;2;NULL;NULL;NULL;NULL;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:25:29.3629
NULL;NULL;NULL;NULL;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 );anonymous;NULL;7854;NULL;NULL;NULL;NULL;NULL;NULL;NULL;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:25:29.3639
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;7854;NULL;NULL;NULL;NULL;19.0000;2.0000;NULL;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;1;2023-05-10 10:25:29.3639
NULL;4;NULL;NULL;NULL;anonymous;BciSuccess;7854;NULL;NULL;NULL;NULL;NULL;NULL;NULL;a1160f85-6f17-410d-b05b-c507ba29e62b;TRUE;NULL;2023-05-10 10:25:29.3639
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;8120;NULL;NULL;3;NULL;NULL;NULL;NULL;a1160f85-6f17-410d-b05b-c507ba29e62b;NULL;NULL;2023-05-10 10:25:36.5420
