BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.2228;ReceivingData;anonymous;Sample;5735;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:47.1825
0.2339;ReceivingData;anonymous;Sample;5743;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:47.3482
0.2654;ReceivingData;anonymous;Sample;5751;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:47.4989
0.2795;ReceivingData;anonymous;Sample;5758;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:47.6496
0.3053;ReceivingData;anonymous;Sample;5765;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:47.7990
0.3471;ReceivingData;anonymous;Sample;5772;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:47.9508
0.4786;ReceivingData;anonymous;Sample;5780;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:48.1165
0.6045;ReceivingData;anonymous;Sample;5788;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:48.2827
0.6219;ReceivingData;anonymous;Sample;5796;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:48.4325
0.6052;ReceivingData;anonymous;Sample;5803;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:48.5835
0.6037;ReceivingData;anonymous;Sample;5810;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:48.7339
0.7128;ReceivingData;anonymous;Sample;5818;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:48.8995
0.7960;ReceivingData;anonymous;Sample;5826;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:49.0671
0.8330;ReceivingData;anonymous;Sample;5834;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:49.2336
0.8430;ReceivingData;anonymous;Sample;5842;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:49.3837
0.8513;ReceivingData;anonymous;Sample;5849;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:49.5344
0.8439;ReceivingData;anonymous;Sample;5856;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:49.6838
0.8284;ReceivingData;anonymous;Sample;5863;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:49.8365
0.8229;ReceivingData;anonymous;Sample;5870;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:49.9864
0.8229;ReceivingData;anonymous;Sample;5877;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:50.1349
0.2228;ReceivingData;anonymous;Sample;5885;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:50.3038
0.2339;ReceivingData;anonymous;Sample;5892;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:50.4526
0.2654;ReceivingData;anonymous;Sample;5900;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:49:50.6209
0.2228;ReceivingData;anonymous;Sample;6493;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:50:03.2956
0.2339;ReceivingData;anonymous;Sample;6500;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:50:03.4451
0.2654;ReceivingData;anonymous;Sample;6508;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:50:03.6135
0.2795;ReceivingData;anonymous;Sample;6516;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:50:03.7815
0.3053;ReceivingData;anonymous;Sample;6524;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:50:03.9474
0.3471;ReceivingData;anonymous;Sample;6532;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:50:04.1137
0.4786;ReceivingData;anonymous;Sample;6540;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:50:04.2798
0.6045;ReceivingData;anonymous;Sample;6548;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:50:04.4475
0.6219;ReceivingData;anonymous;Sample;6556;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:50:04.6141
0.6052;ReceivingData;anonymous;Sample;6563;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:50:04.7634
0.6037;ReceivingData;anonymous;Sample;6571;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:50:04.9136
0.7128;ReceivingData;anonymous;Sample;6578;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:50:05.0658
0.7960;ReceivingData;anonymous;Sample;6585;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:50:05.2131
0.8330;ReceivingData;anonymous;Sample;6592;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:50:05.3656
0.8430;ReceivingData;anonymous;Sample;6599;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:50:05.5136
0.8513;ReceivingData;anonymous;Sample;6606;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:50:05.6655
0.8439;ReceivingData;anonymous;Sample;6614;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:50:05.8315
0.8284;ReceivingData;anonymous;Sample;6621;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:50:05.9833
0.8229;ReceivingData;anonymous;Sample;6628;b5e8ce84-b0b1-42f7-855e-5e0019ede29b;2023-05-10 09:50:06.1330
