BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.2228;ReceivingData;anonymous;Sample;7257;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:44.6190
0.2339;ReceivingData;anonymous;Sample;7264;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:44.7713
0.2654;ReceivingData;anonymous;Sample;7271;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:44.9191
0.2795;ReceivingData;anonymous;Sample;7279;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:45.0872
0.3053;ReceivingData;anonymous;Sample;7287;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:45.2362
0.3471;ReceivingData;anonymous;Sample;7294;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:45.3878
0.4786;ReceivingData;anonymous;Sample;7301;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:45.5382
0.6045;ReceivingData;anonymous;Sample;7308;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:45.6856
0.6219;ReceivingData;anonymous;Sample;7315;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:45.8366
0.6052;ReceivingData;anonymous;Sample;7322;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:45.9863
0.6037;ReceivingData;anonymous;Sample;7329;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:46.1370
0.7128;ReceivingData;anonymous;Sample;7337;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:46.2864
0.7960;ReceivingData;anonymous;Sample;7344;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:46.4373
0.8330;ReceivingData;anonymous;Sample;7351;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:46.5863
0.8430;ReceivingData;anonymous;Sample;7358;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:46.7370
0.8513;ReceivingData;anonymous;Sample;7365;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:46.8871
0.8439;ReceivingData;anonymous;Sample;7373;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:47.0556
0.8284;ReceivingData;anonymous;Sample;7380;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:47.2050
0.8229;ReceivingData;anonymous;Sample;7388;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:47.3723
0.8229;ReceivingData;anonymous;Sample;7395;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:47.5386
0.2228;ReceivingData;anonymous;Sample;7401;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:47.6899
0.2339;ReceivingData;anonymous;Sample;7407;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:47.8368
0.2654;ReceivingData;anonymous;Sample;7413;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:13:47.9907
0.2228;ReceivingData;anonymous;Sample;9041;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:23.2516
0.2339;ReceivingData;anonymous;Sample;9048;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:23.4040
0.2654;ReceivingData;anonymous;Sample;9055;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:23.5506
0.2795;ReceivingData;anonymous;Sample;9062;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:23.7182
0.3053;ReceivingData;anonymous;Sample;9070;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:23.8866
0.3471;ReceivingData;anonymous;Sample;9077;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:24.0353
0.4786;ReceivingData;anonymous;Sample;9085;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:24.2033
0.6045;ReceivingData;anonymous;Sample;9092;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:24.3537
0.6219;ReceivingData;anonymous;Sample;9100;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:24.5206
0.6052;ReceivingData;anonymous;Sample;9107;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:24.6720
0.6037;ReceivingData;anonymous;Sample;9114;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:24.8190
0.7128;ReceivingData;anonymous;Sample;9121;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:24.9692
0.7960;ReceivingData;anonymous;Sample;9128;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:25.1211
0.8330;ReceivingData;anonymous;Sample;9135;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:25.2697
0.8430;ReceivingData;anonymous;Sample;9142;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:25.4183
0.8513;ReceivingData;anonymous;Sample;9149;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:25.5882
0.8439;ReceivingData;anonymous;Sample;9156;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:25.7391
0.8284;ReceivingData;anonymous;Sample;9163;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:25.8880
0.8229;ReceivingData;anonymous;Sample;9170;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:26.0383
0.8229;ReceivingData;anonymous;Sample;9176;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:26.1885
0.2228;ReceivingData;anonymous;Sample;9182;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:26.3389
0.2339;ReceivingData;anonymous;Sample;9188;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:26.4884
0.2654;ReceivingData;anonymous;Sample;9195;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:26.6545
0.2228;ReceivingData;anonymous;Sample;9463;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:32.5430
0.2339;ReceivingData;anonymous;Sample;9471;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:32.7090
0.2654;ReceivingData;anonymous;Sample;9479;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:32.8761
0.2795;ReceivingData;anonymous;Sample;9487;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:33.0431
0.3053;ReceivingData;anonymous;Sample;9495;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:33.1920
0.3471;ReceivingData;anonymous;Sample;9502;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:33.3454
0.4786;ReceivingData;anonymous;Sample;9509;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:33.4921
0.6045;ReceivingData;anonymous;Sample;9517;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:33.6425
0.6219;ReceivingData;anonymous;Sample;9524;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;2023-05-10 12:14:33.7955
