BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.2228;ReceivingData;anonymous;Sample;5749;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;2023-05-10 13:43:19.7385
0.2339;ReceivingData;anonymous;Sample;5756;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;2023-05-10 13:43:19.9100
0.2654;ReceivingData;anonymous;Sample;5763;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;2023-05-10 13:43:20.0729
0.2795;ReceivingData;anonymous;Sample;5770;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;2023-05-10 13:43:20.2222
0.3053;ReceivingData;anonymous;Sample;5777;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;2023-05-10 13:43:20.3916
0.3471;ReceivingData;anonymous;Sample;5784;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;2023-05-10 13:43:20.5393
0.4786;ReceivingData;anonymous;Sample;5790;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;2023-05-10 13:43:20.6913
0.6045;ReceivingData;anonymous;Sample;5797;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;2023-05-10 13:43:20.8567
0.6219;ReceivingData;anonymous;Sample;5804;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;2023-05-10 13:43:21.0077
0.6052;ReceivingData;anonymous;Sample;5810;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;2023-05-10 13:43:21.1581
0.6037;ReceivingData;anonymous;Sample;5817;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;2023-05-10 13:43:21.3070
0.7128;ReceivingData;anonymous;Sample;5824;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;2023-05-10 13:43:21.4763
0.7960;ReceivingData;anonymous;Sample;5831;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;2023-05-10 13:43:21.6445
0.8330;ReceivingData;anonymous;Sample;5838;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;2023-05-10 13:43:21.7891
0.8430;ReceivingData;anonymous;Sample;5844;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;2023-05-10 13:43:21.9405
0.8513;ReceivingData;anonymous;Sample;5851;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;2023-05-10 13:43:22.1121
0.8439;ReceivingData;anonymous;Sample;5857;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;2023-05-10 13:43:22.2598
