BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;4631;NULL;NULL;NULL;NULL;NULL;NULL;NULL;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;NULL;NULL;2023-05-10 13:42:52.1543
NULL;NULL;NULL;NULL;anonymous;Scene Start;4631;Interval;NULL;NULL;NULL;NULL;NULL;NULL;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;NULL;NULL;2023-05-10 13:42:52.1573
NULL;NULL;NULL;NULL;anonymous;Start Player Turn;4631;NULL;NULL;NULL;1;NULL;NULL;TRUE;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;NULL;NULL;2023-05-10 13:42:52.1613
NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;4653;NULL;NULL;NULL;NULL;NULL;NULL;NULL;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;NULL;NULL;2023-05-10 13:42:52.7339
NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;4653;NULL;NULL;NULL;NULL;NULL;NULL;NULL;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;NULL;NULL;2023-05-10 13:42:52.7339
NULL;NULL;NULL;NULL;anonymous;Player Moving;4896;NULL;NULL;NULL;NULL;NULL;NULL;NULL;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;NULL;NULL;2023-05-10 13:42:58.8320
NULL;NULL;NULL;NULL;anonymous;End Player Turn;5044;NULL;NULL;NULL;1;NULL;NULL;FALSE;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;NULL;NULL;2023-05-10 13:43:02.3758
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5044;NULL;NULL;NULL;1;NULL;NULL;FALSE;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;NULL;NULL;2023-05-10 13:43:02.3768
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5090;NULL;NULL;NULL;1;NULL;NULL;FALSE;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;NULL;NULL;2023-05-10 13:43:03.5295
NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;5092;NULL;NULL;NULL;1;NULL;NULL;FALSE;05e5ba38-5823-44ad-bd8d-92fcf37c3ca5;NULL;NULL;2023-05-10 13:43:03.5795
